X_Minimum;X_Maximum;X_Rank;Y_Minimum;Y_Maximum;Y_Rank;Pixels_Areas;X_Perimeter;Y_Perimeter;Sum_of_Luminosity;Minimum_of_Luminosity;Maximum_of_Luminosity;Luminosity_Rank;Length_of_Conveyer;TypeOfSteel_A300;TypeOfSteel_A400;Steel_Plate_Thickness;Edges_Index;Empty_Index;Square_Index;Outside_X_Index;Edges_X_Index;Edges_Y_Index;Outside_Global_Index;LogOfAreas;Log_X_Index;Log_Y_Index;Orientation_Index;Luminosity_Index;SigmoidOfAreas;Class
1325;1339;14;30207;30238;31;268;29;31;25809;79;124;45;1353;0;1;120;207;3825;4516;104;4828;1;1;24281;11461;14914;5484;-2476;7065;1
1;16;15;55572;55629;57;370;48;62;39293;27;119;92;1353;0;1;120;15;5673;2632;111;3125;9194;1;25682;11761;17559;7368;-1703;9755;1
1323;1333;10;68445;68506;61;330;48;61;33449;90;119;29;1353;0;1;120;296;459;1639;74;2083;1;1;25185;1;17853;8361;-2081;8861;1
1324;1333;9;75642;75681;39;207;25;39;21354;93;124;31;1353;0;1;120;296;4103;2308;66;36;1;1;2316;9542;15911;7692;-1941;5805;1
1324;1335;11;97132;97213;81;594;55;81;61608;93;125;32;1353;0;1;120;266;3333;1358;81;2;1;1;27738;10414;19085;8642;-1897;9806;1
50;71;21;143784;143858;74;578;73;90;67901;100;132;32;1353;0;1;120;739;6281;2838;155;2877;8222;1;27619;13222;18692;7162;-822;9998;1
828;836;8;128854;128981;127;788;78;127;83011;86;125;39;1687;0;1;50;9816;2244;63;47;1026;1;1;28965;9031;21038;937;-177;9915;1
1324;1330;6;1543653;1543689;36;145;23;36;16920;108;127;19;1352;0;1;40;325;3287;1667;44;2609;1;1;21614;7782;15563;8333;-884;3601;1
1325;1332;7;1564451;1564476;25;97;19;25;11608;111;133;22;1354;0;1;40;325;4457;28;52;3684;1;1;19868;8451;13979;72;-651;2998;1
1326;1333;7;1581921;1581956;35;139;27;35;16441;110;132;22;1354;0;1;40;31;4326;2;52;2593;1;1;2143;8451;15441;8;-759;4057;1
1325;1332;7;1599135;1599173;38;175;30;38;21073;111;133;22;1354;0;1;40;325;3421;1842;52;2333;1;1;2243;8451;15798;8158;-592;4399;1
1327;1332;5;1647908;1647954;46;144;20;47;17271;110;132;22;1354;0;1;40;325;3739;1087;37;25;9787;1;21584;699;16628;8913;-63;3819;1
1330;1334;4;1668998;1669028;30;73;15;30;8549;109;127;18;1358;0;1;40;353;3917;1333;3;2667;1;1;18633;6021;14771;8667;-851;2288;1
1329;1334;5;1682919;1682947;28;89;16;28;10584;110;134;24;1356;0;1;40;325;3643;1786;37;3125;1;1;19494;699;14472;8214;-709;2532;1
1327;1332;5;1738096;1738114;18;72;15;18;8542;111;132;21;1358;0;1;40;383;2;2778;37;3333;1;1;18573;699;12553;7222;-731;1954;1
1328;1334;6;1772580;1772598;18;64;14;19;7486;111;126;15;1358;0;1;40;353;4074;3333;44;4286;9474;1;18062;7782;12553;6667;-862;215;1
1302;1308;6;2369532;2369561;29;115;18;29;14260;115;135;20;1352;0;1;40;651;3391;2069;44;3333;1;1;20607;7782;14624;7931;-313;2984;1
1315;1321;6;2396372;2396392;20;58;15;20;7385;116;141;25;1352;0;1;40;459;5167;3;44;4;1;1;17634;7782;1301;7;-52;2288;1
1310;1316;6;2413168;2413186;18;60;16;19;7112;110;127;17;1352;0;1;40;532;4444;3333;44;375;9474;1;17781;7782;12553;6667;-74;215;1
1430;1466;36;5851552;5851560;8;134;47;13;17217;114;143;29;1650;1;0;69;223;5347;2222;218;766;6154;0;21271;15563;9031;-7778;38;4763;1
1357;1373;16;5877663;5877670;7;52;20;8;6616;116;143;27;1652;1;0;69;3378;5357;4375;97;8;875;0;1716;12041;8451;-5625;-6;2195;1
1427;1455;28;5897947;5897955;8;123;29;13;15711;117;141;24;1652;1;0;69;2385;4509;2857;17;9655;6154;0;20899;14472;9031;-7143;-21;3725;1
1421;1448;27;5921344;5921348;4;81;28;9;10329;113;141;28;1650;1;0;69;2448;25;1481;164;9643;4444;0;19085;14314;6021;-8518;-38;215;1
1417;1437;20;5948468;5948472;4;56;26;6;7143;116;140;24;1652;1;0;69;2603;3;2;121;7692;6667;0;17482;1301;6021;-8;-35;1852;1
1373;1395;22;5971611;5971616;5;68;24;9;8685;115;143;28;1650;1;0;69;3091;3818;2273;133;9167;5556;0;18325;13424;699;-7727;-22;2173;1
1444;1457;13;5996730;5996739;9;79;19;11;10188;116;140;24;1648;1;0;69;2318;3248;6923;79;6842;8182;0;18976;11139;9542;-3077;75;2253;1
63;86;23;6245624;6245776;152;2028;129;157;188767;28;140;112;1696;1;0;69;743;4199;1513;136;1783;9682;1;33071;13617;21818;8487;-2728;1;1
123;132;9;785268;785285;17;78;15;17;11382;129;157;28;1658;1;0;143;1484;4902;5294;54;6;1;1;18921;9542;12305;4706;14;2699;1
625;631;6;1934306;1934337;31;127;19;31;13897;99;125;26;1364;0;1;100;9164;3172;1936;44;3158;1;1;21038;7782;14914;8065;-1451;3154;1
625;635;10;1954598;1954686;88;540;57;88;60109;95;127;32;1364;0;1;100;9164;3864;1136;73;1754;1;1;27324;1;19445;8864;-1304;9792;1
625;636;11;1970774;1970877;103;716;74;103;80541;97;134;37;1364;0;1;100;9164;3681;1068;81;1487;1;1;28549;10414;20128;8932;-1212;9961;1
625;635;10;1981388;1981483;95;571;68;95;64701;98;135;37;1364;0;1;100;9164;399;1053;73;1471;1;1;27566;1;19777;8947;-1147;9869;1
625;636;11;1997356;1997506;150;1082;102;150;118721;94;132;38;1366;0;1;100;9151;3442;733;81;1078;1;1;30342;10414;21761;9267;-1428;9999;1
623;639;16;2003323;2003457;134;1004;99;134;125338;109;143;34;1362;0;1;100;9148;5317;1194;117;1616;1;1;30017;12041;21271;8806;-247;1;1
624;635;11;2014210;2014317;107;477;82;107;53536;96;132;36;1364;0;1;100;915;5947;1028;81;1341;1;1;26785;10414;20294;8972;-1232;9971;1
620;637;17;2020002;2020117;115;695;99;117;88065;111;141;30;1364;0;1;100;9091;6445;1478;125;1717;9829;1;2842;12305;20607;8522;-101;1;1
623;632;9;2030688;2030738;50;319;31;50;36546;101;133;32;1364;0;1;100;9135;2911;18;66;2903;1;1;25038;9542;1699;82;-105;7281;1
621;632;11;2036193;2036297;104;585;91;105;65860;99;133;34;1364;0;1;100;9106;4886;1058;81;1209;9905;1;27672;10414;2017;8942;-1205;9964;1
621;632;11;2046094;2046183;89;495;67;90;56735;99;143;44;1364;0;1;100;9106;4944;1236;81;1642;9889;1;26946;10414;19494;8764;-1046;9891;1
623;632;9;2056310;2056391;81;492;59;83;55666;101;133;32;1364;0;1;100;9135;3251;1111;66;1525;9759;1;2692;9542;19085;8889;-1161;9451;1
621;633;12;2076516;2076679;163;969;124;163;103558;92;141;49;1364;0;1;100;9106;5046;736;88;968;1;1;29863;10792;22122;9264;-1651;1;1
621;632;11;2086004;2086116;112;733;75;112;81625;98;127;29;1364;0;1;100;9106;405;982;81;1467;1;1;28651;10414;20492;9018;-13;998;1
621;633;12;2095554;2095693;139;975;107;141;121633;108;140;32;1364;0;1;100;9106;4155;863;88;1121;9858;1;2989;10792;2143;9137;-254;9999;1
620;631;11;2104786;2104879;93;706;56;93;77840;96;127;31;1364;0;1;100;9091;3099;1183;81;1964;1;1;28488;10414;19685;8817;-1386;9919;1
619;630;11;2113679;2113824;145;926;113;146;98616;92;126;34;1364;0;1;100;9076;4194;759;81;974;9931;1;29666;10414;21614;9241;-168;9998;1
619;630;11;2122174;2122284;110;653;90;110;71112;95;134;39;1366;0;1;100;9063;4603;1;81;1222;1;1;28149;10414;20414;9;-1492;9977;1
617;623;6;2163461;2163487;26;104;25;26;11941;106;127;21;1364;0;1;100;9047;3333;2308;44;24;1;1;2017;7782;1415;7692;-103;2739;1
618;625;7;2172852;2172874;22;105;16;23;12094;106;125;19;1366;0;1;100;9048;3182;3182;51;4375;9565;1;20212;8451;13424;6818;-1001;2712;1
